category,product,agent_score,graph,edu_fit,key,takeaway,verified
通用PKM,Roam Research,1,块级双向链接，不可验证,无教育语义,双向链接范式,依赖概念与知识依赖边同构,
通用PKM,Obsidian Graph View,1.5,可视化成熟，无自主构建,教师可用，无锚点,本地Markdown知识库,本地优先+开放格式信任感,
通用PKM,Notion AI,2.5,关系库可建模，非自动,题库可以，无追踪,一体化工作区+AI,简单有效的产品形态,
通用PKM,Mem.ai,2.5,嵌入检索非真图谱,低,AI优先个人记忆,自动组织体验好但准确性差=图谱grounding机会,
通用PKM,Rewind/Limitless,2,行为数据记忆图谱,低,屏幕/录音记忆,多模态采集学习行为方向,
通用PKM,Khoj,3,检索为主，无显式图谱,低,开源AI第二大脑,开源+本地部署安全性参照,
通用PKM,Marginalia,2,大纲式非图结构,中,AI原生笔记(YC),自动层级大纲思路,
AI教育,Khanmigo,3,内部技能树+掌握度，不公开不可验证,强(美国Common Core),可汗学院AI助教,Socratic引导而非给答案哲学,
AI教育,松鼠AI,2.5,纳米级知识点+动态追踪，商业黑盒,强(国内课标),国内K12自适应,验证图谱+路径推荐商业模式成立,
AI教育,作业帮/猿辅导,2,知识点标注+难度分层，不可验证不开放,强,拍照搜题双雄,题库与知识点联动、家庭硬件闭环,
AI教育,Duolingo,2.5,技能树+HLR掌握度模型，行业标杆但私有,语言领域强,语言学习,技能树+掌握度双轨设计范本,
AI教育,Quizlet AI,2.5,学习集-掌握度二部图，无依赖边,中,闪卡平台+AI,用户自建内容天花板=缺可信图谱,
AI教育,IXL,2.5,知识点体系极细，私有(网页可浏览无开放API),强,美国K12自适应,实时诊断报告,2026-08-18 实测：ixl.com skill-plans 页面公开可浏览但无导出/API
AI教育,洋葱学园,2,图谱路径学习，私有(官网宣传知识图谱无公开数据),强,国内微课,微课+图谱结合,2026-08-18 实测：官网含知识图谱与AI思维链标签，无公开数据
学术数据,KT学术数据集(ASSISTments/EdNet),-1,题目-作答序列，非课程图谱,研究用,开放作答数据,开放数据但没有知识依赖图,
建图Agent,微软GraphRAG,3.5,实体-关系抽取+社区摘要，业界标杆,中(不懂课标语义),文档级自动建图,可追溯来源与教育可验证诉求一致,
建图Agent,Neo4j LLM Graph Builder,3.5,成熟企业级自动建图管线,中,图数据库+LLM,图数据库生态可作底层参考,
建图Agent,Graphiti,3.5,增量维护、时间旅行、时效感知,低(通用),时序知识图谱引擎,随时间更新的溯源=学生成长追踪所需,
建图Agent,mem0,3,实体/事实记忆自动提取,低,开源AI记忆层,用户画像记忆+图谱结合,
建图Agent,LlamaIndex/LangChain,3,多关系类型自动抽取,中,框架级建图,属性图契合知识点建模,
建图Agent,Diffbot,3,自动全网建图,低,全网实体图谱,不适合教纲知识,
建图Agent,KAG(OpenSPG),3,逻辑规则+图谱融合,低,蚂蚁知识增强生成,LLM+图谱双向增强范式,
专门数据,国家中小学智慧教育平台,-1,按学科→学段→单元→课时组织，无开放图谱,强(官方),教育部平台,官方内容组织可作结构参考,2026-08-18 实测：basic.smartedu.cn 无开放API痕迹
专门数据,义务教育数学课程标准2022,-1,内容要求183条+学业要求，可追溯唯一权威锚点,强(官方),官方课程标准,本项目19个课标锚点的合法性基础,
专门数据,北师大/华东师大知识图谱科研,-1,论文多，数据集基本不公开,中,学术研究,方向验证价值，无数据复用价值,2026-08-18 实测：GitHub 检索无公开数据集
专门数据,Khan Academy技能树,1,依赖边在私有API内，无官方结构化导出,强(美国),在线学习平台,khan-exercises开源但无prerequisites字段；第三方khan-graphql可爬取非官方,2026-08-18 实测：官方API反爬(400)；Khan/khan-exercises code search prerequisites=0；KA Lite仅内容镜像
专门数据,KT公开数据集,-1,作答-成绩数据，非知识点依赖图谱,研究用,知识追踪数据集,与图谱互补，可作掌握度评测底料,
专门数据,W3C教育本体,-1,学术社区存在，无规模化落地,低,本体标准,术语规范化参考,
